Country,Region,Area (sq. km.),Population,Population growth (%),Pop. density (per sq. km.),Literacy rate (%),Life expectancy (years),Birth rate (per 1000),Death rate  (per 1000),Infant mortality (per 1000 births),Urban population (% of total population),Rural population (% of total population),"Unemployment, total (% of total labor)",Phones (per 100 people),Internet Users (% population),Access to electricity (% of population),Forest area (% of land area),Agricultural land (% of land area),Inflation (annual %),Women Seats In Parliament (%),Political Stability And Absence Of Violence/Terrorism(%),Human Capital Index,Net migration,Govt. Debt (% of GDP),Military expenditure (% of GDP),Education expenditure (% of GDP),Health expenditure (% of GDP),Agriculture contribution (% of GDP),Industry contribution (% of GDP),Service contribution (% of GDP),Remittances (% of GDP),GDP (current US$),GDP per capita (current US$),GDP growth (annual %)
Somalia,Sub-Saharan Africa,627340,17065581,3.146236588,26.3605318,37.8,55.967,44.007,11.39,72.7,46.731,53.269,19.8649998,53.48002,12.1,49.73086929,9.53231103,70.33665955,7.7,24.3636364,3.3,0.37278441,-17071,80.5,2.2,4.36,2.9,70.6,2.9,26.6,25.2070318,7628000011,446.98156,4.049110488
Serbia,Europe & Central Asia,87460,6834326,-0.94368817,78.8832152,99.48,74.2292683,8.9,16.9,4.9,56.651,43.349,11.8070002,123.7206,81.16588,100,31.130231,40.06402927,4.085102853,39.2,54.25,0.42545339,243,57.3,2.08650053,4.8,8.67206478,6.29298408,24.9983808,51.3880208,7.28850672,63082047650,9230.17832,7.549912535
South Sudan,Sub-Saharan Africa,631930,10748272,1.3303716,16.7838637,34.52,55.48,29.166,10.759,63.3,20.514,79.486,13.915,12.6718,6.5,7.241338253,11.3256215,44.70590097,10.51671583,32.3636364,5.66,0.46689311,-31885,52.2,2.36821502,11.21,6.04213858,31.9,20.6,47.5,7.6,12000000000,305.08,1.9
Sao Tome and Principe,Sub-Saharan Africa,960,223107,2.022036167,227.751042,93.8,67.785,28.435,6.294,12.7,75.073,24.927,15.9090004,84.81984,33,76.55908966,54.0625,45.83333333,8.14,23.6363636,85.85,0.43,-792,90.5,0.4,5.0113802,5.52976227,13.9478625,11.8590136,72.2455546,2.01109188,526653790.7,2360.54355,1.877923038
Suriname,Latin America & Caribbean,156000,612985,0.970459647,3.89144231,95,72.561,18.279,7.036,15.7,66.219,33.781,10.0649996,148.1454,70.06,98.20477295,97.4121154,0.538461538,59.11170965,29.4117647,71.7,0.58,-492,94.5,1.3,5.00707006,9.7369957,9.18849363,36.742578,51.7435373,4.94575008,2984706244,4869.13423,-2.72961883
Slovak Republic,Europe & Central Asia,48080,5447247,-0.21235881,113.536335,99.62,76.8658537,10.4,10.8,4.7,53.82,46.18,6.73999977,135.1475,89.92091,100,40.0561564,39.16389351,3.149606299,22.6666667,81,0.7046982,1746,77.36130426,1.7058158,4.61000013,6.9586463,1.74371297,28.1894993,59.1368251,1.91841794,1.16527E+11,21391.9253,3.014302861
Slovenia,Europe & Central Asia,20136.4,2108079,0.26885197,104.408881,99.7,80.5317073,8.9,11.4,1.8,55.427,44.573,4.42299986,123.0186,89.004,100,61.4722592,30.31773306,1.917065061,26.6666667,92.45,0.78,4568,82.8,1.21807579,5.76000023,8.52386475,1.68943045,28.4817492,57.7080002,1.21022537,61748586535,29291.4006,8.211062592
Sweden,Europe & Central Asia,407283.532,10415811,0.600591533,25.4207234,99,82.4073171,10.9,9.5,2.1,88.238,11.762,8.66100025,123.3665,94.53943,100,68.6990703,7.379478334,2.163197364,46.991404,96.23,0.8452699,80097,43.99518273,1.27684982,7.17000008,10.8674927,1.29001123,22.6428163,64.8102017,0.52487003,6.35664E+11,61028.7381,5.075084725
Eswatini,Sub-Saharan Africa,17200,1192271,0.979052258,68.6427326,89.28,59.692,24.615,9.603,37.4,24.369,75.631,25.7560005,105.2805,47,79.73049927,28.927907,71.04651163,5.23,9.5890411,57.08,0.42,-4897,34.4,1.69802363,4.99529982,6.78069067,8.13859269,32.3415195,53.960943,2.78639861,4743335153,3978.40353,7.883306402
Sint Maarten (Dutch part),Latin America & Caribbean,34,42846,1.258882706,1244.41176,98,73.2,12.75,4.2,14.6,100,0,12,0,68.6,100,10.8823529,22,3.2,0,93,0.6342736,212,70.6,0,7.8,11.77,0.4,18.3,81.3,1.6,1185000000,33276.94,-16.3
Seychelles,Sub-Saharan Africa,460,99258,0.805183391,214.047826,96.2,77.2365854,15.8,6.8,12,57.972,42.028,3,173.8823,79,100,73.2608696,3.369565217,10.7,22.8571429,92.92,0.68,146,63.1,1.46860584,5.15073013,5.1902914,2.14019538,13.00276,67.1935176,0.79128594,1454458184,14653.3094,7.86188242
Syrian Arab Republic,Middle East & North Africa,183630,21324367,2.621583957,113.122012,86.41,72.14,19.67,4.99,18.4,56.124,43.876,10.573,80.20304,35.78,89.14031982,2.84310842,75.81005282,139,11.2,28.4,0.42,212187,105.5,4.5,2.4,2.95,18.1,19.2,62.7,1.5,11079795397,348.21,-6.3
Turks and Caicos Islands,Latin America & Caribbean,950,45114,1.87498501,46.6063158,98,75.001,12.685,8.823,8.69,93.834,6.166,7.8,115.2,37.8,99.40000153,11.0736842,1.052631579,3.14,20,93.5,0.57,682,30.1,0,4.49429989,4.4,0.43125519,16.3868068,74.3730161,0.80922102,943269800,20908.5827,2.099997677
Chad,Sub-Saharan Africa,1259200,17179740,3.163887505,13.2184728,26.76,52.777,43.849,12.486,67.4,23.781,76.219,1.88199997,52.19169,10.4,11.08011723,3.4251906,39.89675985,-0.77284437,32.2580645,16.98,0.31,9016,47.7,2.79413804,2.88812995,4.3536315,53.9885732,10.9004432,35.6598604,0,11779980802,685.690284,-1.19999052
Togo,Sub-Saharan Africa,54390,8644829,2.367338962,155.223019,66.54,61.035,32.302,8.417,44.4,43.358,56.642,4.00400019,77.18624,24,53.99743271,22.2333149,70.2334988,2.7,18.6813187,31.6,0.4,-995,72.4,1.7837304,3.99125004,5.72606897,19.2784379,22.1565541,49.2628036,8.58636014,8413200568,973.206129,5.260594925
Thailand,East Asia & Pacific,510890,71601103,0.175345075,139.904214,94.1,79.274,9.182,7.264,7.4,52.163,47.837,1.41799998,168.7823,85.2696,100,38.8987845,45.0390495,1.230395413,15.7464213,41.98,0.66,1133,50.4013058,1.31844275,3.14571095,3.78912091,8.53176942,34.7786435,56.6895871,1.79176691,5.05947E+11,7066.19055,1.533835584
Tajikistan,Europe & Central Asia,138790,9750064,2.14442566,68.7600476,99.8,67.994,27.53,6.121,28.4,27.726,72.274,7.75400019,121.3848,34.9,99.77929688,3.05353412,35.42041934,8.97,23.8095238,41.04,0.43,-3564,49.3,1.00921283,5.9171629,7.10529375,22.5,22.2,55.2,33.4052447,8746270636,897.04751,9.200190431
Turkmenistan,Europe & Central Asia,469930,6341855,1.451977111,13.3007852,99.7,68.687,22.294,6.836,36.1,52.998,47.002,5.08099985,150.0215,33.2,100,8.78215904,72.00646905,14.95,25,49.06,0.52,-4503,60.6,1.9,3.9,6.56862497,8.8,37.4,53.8,1.1,45230000000,7687.92,-2.3
Timor-Leste,East Asia & Pacific,14870,1320942,1.598470014,87.4240081,69.9,68.475,25.258,6.831,36.5,31.695,68.305,5.07399988,105.9939,29.1,96.1233139,61.9435104,22.95897781,3.78,38.4615385,44,0.4,-1997,32.4,1.14158071,4.15306187,7.15850592,8.63773919,62.2529566,30.5262911,7.20260405,3621222382,2741.39393,5.29144192
Tonga,East Asia & Pacific,720,106017,0.722298202,146.186111,99.4,70.928,23.139,6.946,9.8,23.104,76.896,3.96799994,60.67706,41.3,100,12.4305556,48.61111111,5.640511406,0,97.17,0.57,-948,47.6,0.9,6.60617733,4.98149967,16.3232485,15.922729,49.6599187,45.4987925,469231309.5,4426.00064,-2.66750618
Trinidad and Tobago,Latin America & Caribbean,5130,1525663,0.493855745,295.935088,98.7,74.406,11.946,7.9,14.8,53.265,46.735,4.80499983,130.9488,77.3,100,44.4814815,10.52631579,2.059227469,26.1904762,62.74,0.63,2632,78.1,0.88801608,4.10374022,7.02007389,0.96337939,42.2306514,54.0233174,0.95439147,24460196271,16032.5028,-1.02654016
Tunisia,Middle East & North Africa,155360,12262946,0.82886347,78.2809153,82.7,75.292,16.628,6.752,14.3,69.888,30.112,16.8239994,127.5767,71.9,100,4.52323635,62.63516993,5.706350208,26.2672811,34.91,0.53,-9189,89.2,2.82897749,12.8,6.95845938,10.1385724,23.1173462,60.1382275,5.5653343,46686741814,3807.13915,4.322776357
Turkiye,Europe & Central Asia,769630,84775404,0.757771488,109.31932,96.74,75.85,15.033,6.378,8.1,76.569,23.431,13.3859997,101.7852,81.40844,100,28.8714837,49.06513519,19.59649269,17.3333333,20.28,0.57,-69729,41.97025987,2.06389646,3.3599999,4.34409809,5.54307699,31.1137138,52.7538952,0.08607689,8.19035E+11,9661.23598,11.35349641
Tuvalu,East Asia & Pacific,30,11204,1.212244899,368.966667,99,64.382,23.632,10.188,18.7,64.785,35.215,8.5,81.30816,49.3,99.68923187,33.3333333,60,2.9,6.25,99.53,0.4739,-15,19.3,0,12.7,23.961813,15.9,16.2,67.9,0,63100961.54,5632.00299,2.985074627
Tanzania,Sub-Saharan Africa,885800,63588334,3.007287233,69.65965,81.8,66.408,36.651,6.179,34.7,35.954,64.046,2.64899993,84.99104,22,39.90000153,51.642583,44.61639196,3.690919588,36.8556701,46.23,0.3864,-4865,23.2,1.06742735,3.29779005,3.82769322,25.8856533,29.2789742,34.3405817,0.52261216,67841049193,1099.2876,4.279084542
Uganda,Sub-Saharan Africa,200520,45853778,3.211427904,221.447292,79,62.851,37.252,5.852,31.9,25.553,74.447,2.93600011,65.70386,6.1,42.07441711,11.6591861,71.88809096,2.204572048,33.8129496,29.72,0.3791,43465,44.18591431,2.42385397,2.66505003,3.82522416,23.8418038,27.1494417,41.8463858,2.82418112,40529789026,883.892032,3.536580341
Ukraine,Europe & Central Asia,579400,43792855,-0.7715577,76.1685347,1,71.185122,7.8,15.9,6.9,69.757,30.243,8.87899971,135.0257,75.03791,100,16.7241974,71.2996203,9.363139177,20.8037825,21.7,0.6702,831,58.71618507,3.22834694,5.38231993,7.09860182,10.6330457,23.4617573,51.8389896,9.02613962,2.00086E+11,4835.57178,3.4
Uruguay,Latin America & Caribbean,175020,3426260,-0.08244661,19.592538,98.77,78.43,10.339,9.432,5.3,95.603,4.397,10.4469995,136.9212,86.1,100,11.6043881,80.3531025,7.747914023,24.2424242,96.7,0.6863,-1486,60.39983256,2.25630654,4.55207014,9.34783173,6.90679365,18.8659515,62.0474514,0.21195972,59319484711,17313.1883,4.367009316
United States,North America,9147420,331893745,0.118380497,36.2398447,79,77.2804878,10.9,10.3,5.4,82.873,17.127,5.46400023,107.3055,90.9,100,33.8669264,44.36336735,4.697858864,27.6497696,56.13,0.7261,561580,126.3904957,3.48321576,6.05000019,16.7670631,0.95956666,17.8846534,77.5992103,0.02959029,2.33151E+13,70248.629,5.945484761
Uzbekistan,Europe & Central Asia,440650,34915100,1.975706066,77.6853512,100,70.331,24.6,5.1,12.5,50.427,49.573,7.16099977,102.8976,71.1,100,8.37322138,58.28321797,10.84923975,32.6530612,50.94,0.6363,-39201,18.9,1.6,4.92279005,5.61760426,24.9825173,32.0463959,35.7338355,13.2837553,69238903106,1983.06472,7.420110242
St. Vincent and the Grenadines,Latin America & Caribbean,390,104332,-0.28713099,268.287179,95.63,72.126,13.071,11.038,12.9,53.452,46.548,21.618,110.1215,36.8,100,73.1794872,17.94871795,1.572729325,18.1818182,84.8,0.6104,-379,76.5,1.6,6.2,4.75291252,6.91441295,13.7314282,62.7294693,9.49606677,904181492.8,8666.38704,1.352114255
"Venezuela, RB",Latin America & Caribbean,882050,28199867,-1.02517871,32.3002698,97.5,71.095,16.213,7.575,21.1,88.325,11.675,6.41300011,58.97643,72,100,52.4130151,24.37503543,210,22.1556886,47.5,0.5099,-525116,76.6,0.3,2.2,5.36708355,3.3,27.7,69,1.3,66770000000,1328.33,-35
British Virgin Islands,Latin America & Caribbean,150,31122,0.683520845,206.066667,97.8,75.849,7.448,6.38,11.58,48.92,51.08,2.87,113.7593,78.3,100,24.1333333,46.66666667,2.25,0,94.2,0.65,128,36.6,0,2.59050012,9.9,1.8,12.3,85.9,2.2,4200000000,39919.1,14.5
Virgin Islands (U.S.),Latin America & Caribbean,350,105870,-0.39592812,303.685714,90,79.8195122,12.1,8.4,7.81,96.04,3.96,13.2650003,79.64796,64.4,100,56.8857143,9.428571429,7.3,0,77.5,0.7,-224,54.8,0,4.89,18.1,0.4,19.4,80.2,9.9,4204000000,43819.4,-12.4
Vietnam,East Asia & Pacific,313429,97468029,0.844181677,308.359102,97.75,75.378,15.4,6.169,16.7,38.052,61.948,2.16599989,143.7522,74.21,100,46.7190018,39.43476832,1.834715548,30.260521,53.77,0.69,-992,54.4,2.4,4.11161661,5.24965572,12.5603635,37.4762358,41.2078682,4.96226729,3.66138E+11,3756.48912,2.561551142
