Country,Region,Area (sq. km.),Population,Population growth (%),Pop. density (per sq. km.),Literacy rate (%),Life expectancy (years),Birth rate (per 1000),Death rate  (per 1000),Infant mortality (per 1000 births),Urban population (% of total population),Rural population (% of total population),"Unemployment, total (% of total labor)",Phones (per 100 people),Internet Users (% population),Access to electricity (% of population),Forest area (% of land area),Agricultural land (% of land area),Inflation (annual %),Women Seats In Parliament (%),Political Stability And Absence Of Violence/Terrorism(%),Human Capital Index,Net migration,Govt. Debt (% of GDP),Military expenditure (% of GDP),Education expenditure (% of GDP),Health expenditure (% of GDP),Agriculture contribution (% of GDP),Industry contribution (% of GDP),Service contribution (% of GDP),Remittances (% of GDP),GDP (current US$),GDP per capita (current US$),GDP growth (annual %)
Grenada,Latin America & Caribbean,340,124610,0.762873605,363.714706,98.6,74.924,16.288,8.061,14.5,36.694,63.306,19.5,98.65522,56.9,93.58644867,52.0588235,23.52941176,1.219511939,46.6666667,97.64,0.79259902,-85,67.2,1.5,5.5,4.96524,5.33781065,14.5478595,65.2204461,6.58757476,1122807407,9010.57224,4.68794389
Greenland,Europe & Central Asia,410450,56653,0.506106194,0.13732976,100,71.4046341,14.8,9.2,7.28,87.507,12.493,5.3,118.4236,69.5,100,0.000536,0.592301133,1.89,42.3,100,0.59340447,-62,38.3,0,8.3,9.5,1.1,16.7,82.2,1.1,3076000000,56108.8,-5.2
Guatemala,Latin America & Caribbean,107160,17109746,1.480316806,157.31927,83.35,71.797,21.816,5.337,20.1,52.245,47.755,3.57200003,125.6488,50.84165,97.05526733,32.920866,35.98357596,4.261051274,19.375,47.17,0.40764329,-29118,31.56278309,0.44456752,3.10876989,6.21161032,9.39684133,22.2366391,62.1321558,17.9045829,85985752107,5025.54229,7.980769506
Guam,East Asia & Pacific,540,170534,0.767004481,313.390741,99.37,76.612,16.363,7.178,8.108,95.015,4.985,6.9829998,113,80.5,100,51.8518519,29.62962963,2.93,33.3,95.28,0.74528188,-244,7.3,29.6,3.9,14.3,0.5,26.6,72.9,1.9,6123000000,35904.8635,1.058095428
Guyana,Latin America & Caribbean,196850,804567,0.919614739,4.04979426,88.85,68.486,20.473,8.026,23.8,26.897,73.103,16.4249992,107.3755,42.6,92.5405426,93.5501143,6.305562611,5.032855746,35.7142857,53.77,0.73399532,-4316,93.8,0.95651624,6.1,4.93048668,13.4889386,50.3700043,30.8320386,8.01244647,8044498801,9998.54431,20.06001095
"Hong Kong SAR, China",East Asia & Pacific,1050,7413100,-0.91177675,7124.7619,95.7,85.3878049,5.8,6.8,1.231,100,0,5.31500006,319.4263,93.08716,100,5.3,3.80952381,1.568758344,24.6,88.5,0.53497791,0,38.1,1.9,4.00102997,3.6,0.07547875,5.98585488,89.592819,0.12482519,3.69176E+11,49800.5424,6.343106198
Honduras,Latin America & Caribbean,111890,10278345,1.535139668,90.4617303,88.51,71.462,21.353,4.945,13.9,58.982,41.018,8.51299953,73.5596,42.05,93.20671082,56.8349272,31.37903298,4.480879634,27.34375,40.09,0.55317438,-5779,54.9,1.6058807,6.43843985,7.2839179,11.0408478,26.5804575,56.9648839,25.2852348,28488668302,2771.71746,12.53409602
Croatia,Europe & Central Asia,55960,3899000,-3.74237675,72.3316655,99.45,77.7243902,8.9,14.1,3.9,57.878,42.122,8.68299961,108.4253,81.254,100,34.6517155,26.89421015,2.554506996,31.1258278,89.62,0.62850642,-10402,104.8909851,2.73556859,5.53999996,6.97861767,2.90697222,19.7874579,60.4015915,7.31589502,68955083280,17685.3253,13.07220492
Haiti,Latin America & Caribbean,27560,11447569,1.237298997,410.261284,61,64.052,23.936,8.176,46.7,57.964,42.036,15.7259998,64.73095,34.5,46.92553329,12.6015965,66.76342525,16.84152402,3.6,21.7,0.54675251,-32977,47.3,0.1885407,1.37101436,4.72808981,20.6152858,25.4464651,51.5771167,20.0358824,20944392615,1829.59304,-1.79823989
Hungary,Europe & Central Asia,91260,9709891,-0.41375102,106.83924,99.1,75.6170732,9.6,14.5,3.4,72.245,27.755,4.11600018,105.9698,88.64083,100,22.4962744,53.72561911,5.110965344,13.0653266,94.34,0.5966171,19870,96.10889725,1.63606587,4.76000023,6.35002232,3.35458899,24.2519745,57.0119568,1.9174083,1.81848E+11,18728.1219,7.117315315
Indonesia,East Asia & Pacific,1877519,273753191,0.694717688,144.796388,96,68.808,16.649,8.964,19.5,57.29,42.71,4.41300011,133.6505,62.10448,96.94999695,49.0717804,33.18208764,1.560129905,21.0434783,43.87,0.56258804,-14992,42.9166244,0.69592594,3.49000001,2.90493584,13.2806835,39.8587969,42.8177,0.79272259,1.18609E+12,4332.70928,3.691240112
Isle of Man,Europe & Central Asia,570,84263,0.2578592,147.449123,99,80.588,8.605,10.414,3.85,53.076,46.924,1.6,130,131,100,6.07017544,69.8245614,7.4,0,77.8,0.51512551,517,17.9,0,5.1,12.2,1.5,9.6,88.9,0.9,7315000000,99857,1.4
India,South Asia,2973190,1407563842,0.797216094,469.659567,74.37,70.15,16.572,7.35,27,35.393,64.607,5.97800016,82.62106,43,99,24.2702283,60.21985692,5.131407472,14.4444444,36.79,0.31901422,-301970,89.6,2.65779003,4.47422981,3.0141468,16.8186278,25.8874346,47.5104036,2.81381768,3.1763E+12,2256.59041,8.681228731
Ireland,Europe & Central Asia,68890,5033165,0.953898052,72.3672812,99,82.204878,11.2,6.4,2.6,63.912,36.088,6.6329999,107.7677,91.99989,100,11.3517201,65.49571781,2.358142962,22.5,94.34,0.60256475,15320,71.58126249,0.26479125,3.0999999,6.67931509,1.01776298,37.7918093,55.3642739,0.03567252,5.04183E+11,100172.079,13.58824711
"Iran, Islamic Rep.",Middle East & North Africa,1622500,87923432,0.722822505,53.7998108,88.74,74.832,14.231,5.567,11.1,76.345,23.655,11.4610004,154.5543,78.59574,100,6.62673035,28.97565485,43.38901627,5.59440559,44.24,0.31,28080,53.2,2.29916024,3.59243011,6.71061659,12.393096,38.0137347,47.328977,0.55477791,3.59713E+11,4091.20919,4.719777732
Iraq,Middle East & North Africa,434128,43533592,2.26888921,98.0286551,85.6,69.123,27.732,5.239,21.3,71.119,28.881,14.1920004,88.05917,75,100,1.90036118,21.30707994,6.041864891,28.8753799,4.72,0.5983243,-60097,68.8,2.28295671,3.9,4.47671509,3.95197625,53.8301522,43.4625142,0.34951495,2.07889E+11,4775.37745,2.783335435
Iceland,Europe & Central Asia,100830,372520,1.63931664,3.63446395,99,83.0658537,12.3,6.3,1.5,93.944,6.056,5.40100002,118.0742,99.68702,100,0.50927303,18.56590301,4.444239702,47.6190476,99.53,0.40039259,622,100.0169891,0.1,7.71999979,8.63868046,4.52355171,20.3903483,64.6157244,0.74311435,25602419210,68727.6367,4.403044786
Israel,Middle East & North Africa,21640,9364000,1.602910669,425.836414,91.75,82.7,19.2,5.3,2.9,92.674,7.326,5.04500008,140.4485,90.12734,100,6.46950092,29.87060998,1.492288454,28.3333333,22.64,0.70604795,16856,60.4,5.17162426,7.07000017,7.46131897,1.26100865,17.1721205,72.4485374,0.25196174,4.88527E+11,52170.7119,8.611990348
Italy,Europe & Central Asia,295717,59109668,-0.55535716,200.9991,99.94,82.3439024,6.8,12.6,2.5,71.346,28.654,9.83399963,131.8611,74.86233,100,32.348935,43.95756754,1.873783258,35.7142857,83.49,0.68614614,28021,156.1,1.52273014,4.26999998,8.66856861,1.92946283,22.4925681,65.223997,0.48671109,2.1077E+12,35657.4976,6.737277123
Jamaica,Latin America & Caribbean,10830,2827695,0.257040922,260.42807,88.67,71.869,11.813,7.583,11.4,56.652,43.348,9.18200016,102.7483,55.1,100,55.1144968,40.99722992,5.862782428,28.5714286,66.04,0.70658141,-5664,106.282373,1.41272032,6.02747011,6.09748316,8.34080243,20.9347128,58.2235516,25.2885976,14657586937,5183.5813,4.6
Jordan,Middle East & North Africa,88794,11148278,1.989076856,123.079499,98.42,75.184,22.265,3.475,12.9,91.626,8.374,19.2520008,65.26177,66.8,99.90000153,1.09804717,11.58862085,1.346093772,11.5384615,49.06,0.79567158,14374,75.13747829,5.01895528,3.21138,7.58246946,4.73529702,23.697619,61.0520662,11.2850272,45744271659,4103.25897,2.228138413
Japan,East Asia & Pacific,364500,125681593,-0.45995242,346.395062,99,84.6156098,6.8,11.1,1.8,91.867,8.133,2.79900002,160.8817,90.21946,100,68.4087791,11.99451303,-0.23335278,9.67741935,96.23,0.8882436,87584,216.2788852,1.0735152,3.42000008,10.7437248,0.9,26.7,72.4,0.10708571,4.94088E+12,39312.6604,1.657071117
Kazakhstan,Europe & Central Asia,2699700,19000988,1.299508438,6.94731489,99.8,71.37,22.76,8.6,8.9,57.821,42.179,4.9000001,128.0025,90.92395,100,1.27965329,79.26925214,8,27.1028037,49.06,0.50411636,-18917,26.63396691,0.86636864,4.44620371,2.78745675,5.03000194,35.2669296,53.919357,0.15735122,1.97112E+11,10373.7898,4.3
Kenya,Sub-Saharan Africa,569140,53005614,1.942761283,91.3409354,82.62,62.675,27.998,7.456,31.2,28.493,71.507,5.7420001,122.7902,29.5,71.4379425,6.3448185,48.54693046,6.110909164,21.6138329,21.7,0.5219016,-52549,70.3,1.11910912,4.79903984,4.59182692,22.4282455,16.9949249,54.4131937,3.41657401,1.10347E+11,2081.79985,7.517355387
Kyrgyz Republic,Europe & Central Asia,191800,6691800,1.686334859,34.306048,99.59,71.8,24,6.1,15.7,37.146,62.854,9.10400009,132.4695,72,99.98104858,6.85808133,54.0552659,11.90503982,20.4545455,48.36,0.58415353,-16510,72.23222729,1.66921378,6.21486473,4.49454117,14.6822072,26.6885044,48.438134,32.6859396,8543423503,1276.70037,3.610612695
Cambodia,East Asia & Pacific,176520,16589023,1.165135849,92.8895309,83.91,70.416,19.849,6.228,22,24.668,75.332,0.61199999,128.6026,52.6,86.40000153,45.7079651,32.79515069,2.920734776,21.6,54.72,0.39199102,-24262,27.5,2.31636442,3.12630653,6.98908329,22.8475001,36.8347844,34.1780682,4.27816347,26961061120,1625.23502,3.026389363
Kiribati,East Asia & Pacific,810,128874,1.888540758,156.12716,93,67.266,27.645,6.242,39.2,56.335,43.665,30.6,43.22258,38,91.96302795,1.45679012,41.97530864,3,6.66666667,99.06,0.416,-296,32.9,1.7,4.4,10.2641439,17.9,15.2,66.9,8.24496836,207031250,1606.46251,1.499998904
St. Kitts and Nevis,Latin America & Caribbean,260,47606,-0.07559214,183.238462,98,71.34,12.57,7.24,12.6,30.906,69.094,5.3,163.7211,80.7,100,42.3076923,23.07692308,1.19568887,25,78.4,0.61294985,-90,92.8,0,2.44862008,5.39632845,1.42281232,22.5933304,64.6878375,4.31854407,860840740.7,18082.6102,-0.87962264
"Korea, Rep.",East Asia & Pacific,97600,51744876,-0.17640865,531.109006,97.97,83.4268293,5.3,5.9,2.6,81.414,18.586,3.53200006,140.5659,97.57133,100,64.4159836,16.60860656,2.498333333,19,83.1,0.42339814,43440,46.43159664,2.77701963,4.5,8.1641655,1.78964868,32.445925,56.9754902,0.42542174,1.81096E+12,34997.7816,4.145323954
Kuwait,Middle East & North Africa,17820,4250114,-2.56280809,244.693827,96.45754,76.92,11.797,3.254,7.6,100,0,3.71399999,162.7763,99.70001,100,0.35072952,8.417508418,3.423629476,1.53846154,68.87,0.55734921,-36843,20.7,6.69062243,6.55125999,5.49601221,0.4,58.5,41.1,0.02125087,1.0596E+11,25657.7,-8.1
Lao PDR,East Asia & Pacific,230800,7425057,1.433214065,31.7131672,87.7,68.497,22.449,6.366,35.3,36.939,63.061,1.25800002,64.95536,62,100,71.9042461,8.791161179,3.755620367,21.9512195,39.74,0.7092483,-10303,65.9,1.3,2.2997601,2.59852362,16.067697,34.1299777,38.8487056,1.22309842,18827148510,2535.62343,2.528351001
Lebanon,Middle East & North Africa,10230,5592631,-1.24903517,553.560411,95.3,77.804,15.332,6.253,6,89.093,10.907,14.4879999,75.7245,84.1,100,14.0107527,65.46138807,154.756096,4.6875,11.32,0.47765201,-115122,153.7,3.03264542,1.69000006,8.64661503,1.40016569,2.75863223,94.1483399,20.9172144,23131940281,4136.14635,-7.00123936
Liberia,Sub-Saharan Africa,96320,5193416,2.05886078,52.8196013,48.3,60.948,31.708,8.753,58.1,52.573,47.427,4.09499979,32.49086,25.6,27.53470993,79.0847176,20.28696013,7.82,10.9589041,49.53,0.63318181,-11862,63.3,0.95129457,2.69217992,8.47005749,36.9620975,18.2388145,37.7315474,10.9671112,3509000000,675.663186,4.986712835
Libya,Middle East & North Africa,1759540,6735277,1.214947645,3.78163725,91.29,72.472,18.302,5.598,9.5,80.994,19.006,19.5839996,43.91382,46.2,69.70735168,0.12332769,8.723871012,2.8,15.9574468,4.72,0.61439753,-696,92.6,2.9,3.7,3.8,3.6,62.9,33.5,6.7,42817472975,6357.19555,31.37242223
St. Lucia,Latin America & Caribbean,610,179651,0.230712748,293.831148,90.1,73.416,11.667,8.205,22,18.94,81.06,16.9050007,113.2579,53.3,100,34.0491803,16.29508197,2.410703122,11.1111111,73.4,0.572,0,85.6,1.2,3.57521009,4.32460737,1.76300368,12.3263611,72.1620502,3.70114849,1691275157,9414.22623,12.22986221
Liechtenstein,Europe & Central Asia,160,39039,0.727556394,242.225,100,81.8073171,9.1,8.2,3.66,14.471,85.529,1.6,126.1918,99,100,41.875,33.25,2.5,28,100,0.41324064,231,13.4,0.5,2.4,7.7,0.4,39.8,59.8,2.6,6113951012,190788.1,2.6
Sri Lanka,South Asia,61860,22156000,1.075449957,354.332363,92.3823,76.393,14.235,7.056,5.9,18.86,81.14,5.39499998,141.292,35,100,34.1580989,45.45748464,7.014780712,5.38116592,49.06,0.61097616,-92400,87.7,103.08,1.8,4.07979679,8.70481659,29.7911538,55.1098356,8.36612611,88927263725,4013.68766,3.326763818
Lesotho,Sub-Saharan Africa,30360,2281454,1.20621788,74.2457181,81.2,54.693,26.378,12.858,69.9,29.48,70.52,24.5979996,79.83391,43,47.35273743,1.1370224,85.63899868,6.04774592,23.3333333,53.3,0.31568518,-1490,59.1,1.28718749,8.70263958,11.2694635,4.94594502,34.2311018,49.165776,19.9979142,2496134680,1094.09818,1.347623155
Lithuania,Europe & Central Asia,62620,2800839,0.21280543,44.6324657,99.83,74.9292683,9,15.6,2.7,68.249,31.751,7.90299988,133.7323,86.93054,100,35.1485149,46.99457042,4.683544209,27.6595745,93.87,0.50809824,-11853,53.28445395,2.02172617,12.03,7.00600433,3.31378187,25.3038235,60.7366622,1.17100518,66445256585,23723.3403,5.981032113
Luxembourg,Europe & Central Asia,2574.46,640064,1.518349367,244.874265,100,81.7414634,10.2,7.3,2.3,91.672,8.328,5.22700024,141.1802,98.82697,100,34.4538272,51.32571491,2.526920091,35,98.11,0.78991503,6949,21.1,0.62688078,4.96999979,5.37075996,0.19501756,11.2070985,79.3244371,2.65875065,85506243834,133590.147,5.102455447
Latvia,Europe & Central Asia,62230,1884490,-0.84329468,30.539113,99.89,75.3878049,9.2,15.2,3.4,68.421,31.579,7.5999999,115.3585,91.17965,100,54.8094167,31.64068777,3.275829374,29,89.15,0.77105117,-6815,44.8,2.28041898,5.96999979,6.57814217,4.10813161,19.8811535,63.6751763,3.30561822,39853501580,21148.1629,4.068073863
"Macao SAR, China",East Asia & Pacific,32.9,686607,1.515044864,20555.7143,97.11,85.184,10.128,4.047,2.428,100,0,3.01399994,412.9928,88.1,100,0,2,2.51,0,88.8,0.50460178,4004,0,0,6.30000019,6.7,0,5.8248361,94.1751639,0.07509204,30123914809,43873.5912,19.26705638
St. Martin (French part),Latin America & Caribbean,50,31948,-1.87599493,651.06,100,80.149,15.768,4.788,6.85,96.5,3.5,19,36.8,68.6,100,24.8,22,0.6,0,64.07,0.50841212,-948,32.7,0,6.8,10.9,0,10.7,89.3,6.4,773000000,25470,-22.5
Morocco,Middle East & North Africa,446300,37076584,1.051484312,82.2065248,75.93,73.92,17.889,6.073,16,64.065,35.935,11.467,139.2751,88.13032,100,12.8668833,68.07528568,1.40195884,22.7848101,46.7,0.77593243,-46242,75.9,4.18351299,6.75430012,5.30845118,12.0358617,26.0809841,51.5548758,7.4928992,1.42866E+11,3795.38013,7.929667942
Monaco,Europe & Central Asia,2.027,36686,-0.64123685,18215.0962,99,93.4,5.24,10.47,2.5,100,0,2,98.82516,97.1,100,0,46.7,1.3,33.3333333,97.17,0.60811627,206,5.5,0,1.1527,1.5251174,7.396808,12.5178866,80.0853054,4.1,8596096984,234315.461,21.5535607
Moldova,Europe & Central Asia,32884.6,2615199,-0.75923226,91.7473261,99.6,70.166,12.481,14.445,12.5,42.998,57.002,3.96199989,127.3941,76.1,100,11.7532219,68.86506146,5.10641129,39.6039604,53.3,0.40607002,-14278,33.01366038,0.41161361,6.38872004,6.3779459,10.3852478,20.6072602,54.8548142,15.2393908,13679221333,5230.66173,13.9445896
Madagascar,Sub-Saharan Africa,581800,28915653,2.416869374,48.513539,77.25,65.182,31.343,6.801,36.3,39.207,60.793,2.5940001,56.30042,19.4,33.7350769,21.3644036,70.29047783,5.812251188,17.8807947,37.74,0.50160199,-742,37.2,0.7700343,3.09571004,3.68728375,23.7,15.4,60.9,3.79541635,14472603323,500.511032,4.40234
Maldives,South Asia,300,521457,1.355177392,1714.79333,97.86,79.875,14.576,3.001,5.5,41.102,58.898,6.07800007,139.513,62.93,100,2.73333333,21.33333333,0.543149689,4.59770115,84.43,0.60519266,1189,94.7,2.9,5.80046701,8.04001141,5.26581453,8.94426148,73.2482653,0.09032663,5405576236,10366.2934,41.74510055
Mexico,Latin America & Caribbean,1943950,126705138,0.559420832,64.8156084,95.24785,70.133,15.565,9.33,11.8,81.016,18.984,4.37900019,97.80247,71.96819,99.40000153,33.7930914,49.96939222,5.689208477,50,35.38,0.58811349,-52649,59.8,0.68013076,5.1,5.43305254,3.8892012,30.834403,59.1606827,4.25270574,1.27284E+12,10045.6805,4.720565298
Marshall Islands,East Asia & Pacific,180,42050,-3.1899549,241.183333,98.27,65.24,29.64,29.64,25.5,78.162,21.838,6.3,36.85447,38.7,99.16060638,52.2222222,47.77777778,6.186,6.06060606,89.62,0.429185,-1901,32.1,13.7,13.6250038,16.3414002,25.2991943,10.2819734,65.2770088,12.8246286,259538700,6172.14507,1.114795058
North Macedonia,Europe & Central Asia,25220,2065092,-0.35957882,82.178073,97.8,75.6931707,9.2,12.4,5.2,58.786,41.214,16.2029991,92.29897,81.40554,100,39.7101507,50.03965107,3.230749121,41.6666667,66.3,0.61,-486,50.6,1.54104252,16,7.25409985,7.24932777,22.3548656,56.8541972,3.540166,13825049832,6694.64113,3.964264171
Mali,Sub-Saharan Africa,1220190,21904983,3.157964369,17.3940452,3.76,58.633,41.995,9.529,58.8,44.677,55.323,7.71999979,119.2779,27.4,50.56141663,10.8966636,33.76605283,3.925602831,27.2727273,4.72,0.353,-22236,45.7,2.82194831,4.4014802,3.89389849,35.6904172,20.6055482,35.3905343,5.70921644,19140461606,873.794862,3.052613569
Malta,Middle East & North Africa,320,518536,0.619810316,1610.4125,94.94,82.6536585,8.6,7.9,5.6,94.81,5.19,3.49900007,122.8511,87.46977,100,1.4375,32.4375,1.497892179,13.4328358,95.28,0.76894957,10408,54.3,0.51366003,5.86999989,8.21444321,0.41140771,12.8169849,77.69203,1.63756116,17364044944,33486.672,10.2977636
Myanmar,East Asia & Pacific,652670,53798084,0.699278204,81.8533072,89.07,66.797,17.363,8.819,35,31.448,68.552,2.1730001,147.0304,35.1,70.39719391,43.734031,19.93043958,3.64,15.2941176,6.13,0.52818006,-35382,38.7,3.33493983,2.2,4.67856407,23.4388645,35.0461842,41.5149513,2.85005082,65091751273,1209.92694,-17.9129448
Montenegro,Europe & Central Asia,13450,619211,-0.33776272,46.1937546,98.98,75.9317073,11.4,11.7,2,67.826,32.174,18.4869995,178.3958,82.2197,100,61.4869888,19.17843866,2.410801984,24.691358,54.72,0.63,-101,77.5,1.74294562,4.1,8.32983208,6.46148344,14.8354953,59.8617873,13.5396037,5861268039,9465.704,12.43435899
Mongolia,East Asia & Pacific,1557506.8,3347782,1.609371036,2.11513362,99.18327,72.141,22.405,5.475,13.2,68.785,31.215,7.08199978,140.0122,84.32603,98.09999847,9.09965849,72.35894359,7.352812434,17.1052632,86.79,0.63777161,0,73.93678352,0.65543304,4.65991211,3.76607823,13.1631742,37.0755721,39.6449079,4.12254258,15286441818,4566.14015,1.636769576
Northern Mariana Islands,East Asia & Pacific,460,49481,-0.21399451,107.797826,97,77.1,13.66,5.28,9.61,91.89,8.11,11.2,63.4,63.4,100,52.9565217,1.173913043,-0.8,10,79.3,0.58418787,-431,36.2,0,4.07,18.5,1.5,24.4,74.1,15.9,1182000000,21100,-26.2
Mozambique,Sub-Saharan Africa,786380,32077072,2.842112349,39.6478026,63.42,61.172,36.974,8.004,52.8,37.628,62.372,3.98200011,49.59621,16.5,30.60383224,46.7251965,52.66389277,5.688486991,42.4,17.92,0.68141961,-9515,102.8841652,1.51119001,6.26059008,7.83351135,27.4953775,21.9041928,40.0814648,2.87747361,15776758633,491.839113,2.363988418
Mauritania,Sub-Saharan Africa,1030700,4614974,2.553910771,4.36461046,66.96,64.532,33.427,7.466,49,56.133,43.867,11.4630003,141.1137,40.8,47.34841919,0.30348307,38.47967401,3.565164847,20.2614379,37.26,0.37955275,-1494,97.9,2.3781622,1.88116002,3.30329728,18.5787114,32.8972755,40.3890029,2.00660701,9996249658,2166.0468,2.445368273
Mauritius,Sub-Saharan Africa,2030,1266060,0.025278458,623.517241,92.15,74.1770732,10.6,8.7,14.8,40.775,59.225,7.41400003,151.7651,64.8849,99.66165161,19.0985222,42.36453202,4.028528882,20,94.34,0.5763905,-478,70.6,0.16955766,4.87728024,6.19943714,3.2650259,18.2884307,66.874779,2.36337572,11529042672,9106.2372,3.703611124
Malawi,Sub-Saharan Africa,94280,19889742,2.611417766,205.526739,67.31,63.717,33.233,6.706,29,17.695,82.305,7.02099991,60.03162,17.8,14.86676884,23.7770471,59.92787442,9.3,22.9166667,54.72,0.37744519,-1775,60.8,0.94896964,2.90761995,7.39341164,22.7301499,18.3794312,52.4351998,2.05006258,12626717492,634.83566,2.751416408
